final_equity,max_drawdown_usd,equity_csv,run_log
29383.24,898.25,backtests/equity_90d_20260225_185412.csv,
29313.48,898.25,backtests/equity_90d_20260226_030801.csv,
29272.15,909.86,backtests/equity_90d_20260222_130902.csv,
28822.73,989.16,backtests/equity_90d_20260225_180524.csv,
28754.89,939.49,backtests/equity_90d_20260223_043522.csv,
28754.89,939.49,backtests/equity_90d_20260223_043551.csv,
28748.05,980.63,backtests/equity_90d_20260226_023902.csv,
28746.95,1274.88,backtests/equity_90d_20260225_030552.csv,
28733.47,996.01,backtests/equity_90d_20260225_194046.csv,
28574.35,1252.46,backtests/equity_90d_20260225_042822.csv,
28381.53,968.39,backtests/equity_90d_20260221_050219.csv,
28052.39,985.20,backtests/equity_90d_20260220_115200.csv,
28005.57,980.76,backtests/equity_90d_20260220_122809.csv,
27971.26,991.01,backtests/equity_90d_20260220_030628.csv,
27952.73,988.90,backtests/equity_90d_20260220_112940.csv,
27783.04,992.21,backtests/equity_90d_20260219_154445.csv,
27637.20,978.38,backtests/equity_90d_20260219_183845.csv,
27423.45,983.53,backtests/equity_90d_20260219_132925.csv,
27295.98,970.42,backtests/equity_90d_20260219_122250.csv,
27232.06,1008.16,backtests/equity_90d_20260222_161853.csv,
27232.06,1008.16,backtests/equity_90d_20260222_162033.csv,
27018.17,937.71,backtests/equity_90d_20260219_120521.csv,
26831.83,1101.34,backtests/equity_90d_20260219_162025.csv,
26444.28,1198.43,backtests/equity_90d_20260219_141935.csv,
26285.82,1129.43,backtests/equity_90d_20260220_221758.csv,
23996.92,1063.18,backtests/equity_90d_20260219_112503.csv,
23579.95,898.25,backtests/equity_90d_20260222_054716.csv,
23560.97,898.25,backtests/equity_90d_20260222_060345.csv,
23081.77,899.96,backtests/equity_90d_20260219_110007.csv,
23024.99,898.25,backtests/equity_90d_20260222_110803.csv,
23024.99,898.25,backtests/equity_90d_20260222_110810.csv,
23024.99,898.25,backtests/equity_90d_20260222_110826.csv,
23024.99,898.25,backtests/equity_90d_20260222_112950.csv,
23013.62,898.25,backtests/equity_90d_20260222_102720.csv,
22887.16,898.25,backtests/equity_90d_20260222_120616.csv,
22855.72,898.25,backtests/equity_90d_20260222_120626.csv,
22553.86,898.25,backtests/equity_90d_20260223_035932.csv,
22543.92,898.25,backtests/equity_90d_20260223_101747.csv,
22505.94,898.25,backtests/equity_90d_20260223_120902.csv,
22501.01,898.25,backtests/equity_90d_20260227_020051.csv,
22471.71,898.25,backtests/equity_90d_20260223_090732.csv,
22470.96,898.25,backtests/equity_90d_20260223_090757.csv,
22463.92,1153.47,backtests/equity_90d_20260219_090325.csv,
22444.13,898.25,backtests/equity_90d_20260223_092855.csv,
22425.55,898.25,backtests/equity_90d_20260223_094814.csv,
22417.32,898.25,backtests/equity_90d_20260227_022624.csv,
22413.20,898.25,backtests/equity_90d_20260223_103714.csv,
22410.41,898.25,backtests/equity_90d_20260227_015548.csv,
22388.02,898.25,backtests/equity_90d_20260223_035346.csv,
22377.67,898.25,backtests/equity_90d_20260223_114745.csv,
22373.37,898.25,backtests/equity_90d_20260223_121230.csv,
22373.37,898.25,backtests/equity_90d_20260223_121247.csv,
22301.44,908.54,backtests/equity_90d_20260218_182450.csv,
22254.20,950.43,backtests/equity_90d_20260219_074651.csv,
